127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:54, GET, /admin/default/edit/hello/models/mysql_test.py, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-04-02 10:33:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:33:54, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.125000
127.0.0.1, 2018-04-02 10:33:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.180000
127.0.0.1, 2018-04-02 10:33:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.208000
127.0.0.1, 2018-04-02 10:33:54, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-04-02 10:33:54, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.395000
127.0.0.1, 2018-04-02 10:34:04, GET, /admin/default/peek/hello/models/mysql_test.py, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-02 10:34:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:34:06, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-04-02 10:34:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:34:18, GET, /admin/default/delete/hello/models/mysql_test.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-02 10:34:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:34:20, POST, /admin/default/delete/hello/models/mysql_test.py, HTTP/1.1, 303, 0.022000
127.0.0.1, 2018-04-02 10:34:20, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.123000
127.0.0.1, 2018-04-02 10:34:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:34:37, GET, /admin/default/site, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-04-02 10:34:41, GET, /hello/default/index, HTTP/1.1, 200, 0.573000
